r,block_22,block_23,block_24,block_25,mean_last4
1.989999999999999858e+01,1.232848465478154187e+00,1.225370708256086072e+00,1.217173191441121904e+00,1.214824798532067707e+00,1.222554290926857412e+00
2.010000000000000142e+01,1.233542801155742552e+00,1.231231952844800137e+00,1.217040567025476472e+00,1.214999231636588961e+00,1.224203638165652031e+00
2.030000000000000426e+01,1.236176676744298986e+00,1.232186520824430920e+00,1.221150949785099415e+00,1.220040544843742802e+00,1.227388673049393031e+00
2.050000000000000000e+01,1.239855934907012625e+00,1.236975205368631592e+00,1.227133483157361260e+00,1.218254878890778548e+00,1.230554875580946117e+00
2.070000000000000284e+01,1.239077631325784301e+00,1.233893753103937785e+00,1.232707112040649644e+00,1.220096587857135928e+00,1.231443771081876859e+00
2.089999999999999858e+01,1.241950846494752181e+00,1.238010146444237236e+00,1.234539313721870091e+00,1.225586790329261211e+00,1.235021774247530235e+00
2.110000000000000142e+01,1.245236762980364897e+00,1.238411782525068672e+00,1.236121441186208036e+00,1.227381550573701796e+00,1.236787884316335795e+00
2.130000000000000426e+01,1.250516429551558062e+00,1.243491431996122776e+00,1.231866716192590694e+00,1.228123472434208274e+00,1.238499512543620007e+00
2.150000000000000000e+01,1.252428468970683051e+00,1.245458791230687812e+00,1.241146197882724733e+00,1.234134607339658407e+00,1.243292016355938667e+00
2.170000000000000284e+01,1.255336455263181827e+00,1.245771077929903381e+00,1.246081913140969499e+00,1.234132691572765284e+00,1.245330534476704942e+00
2.189999999999999858e+01,1.255770650346166750e+00,1.247210948705773870e+00,1.248591331028343410e+00,1.238559995717422479e+00,1.247533231449426738e+00
2.210000000000000142e+01,1.256143831212191975e+00,1.250376969771825442e+00,1.250858606398357775e+00,1.237325298284776887e+00,1.248676176416787964e+00
2.230000000000000426e+01,1.258060189137966800e+00,1.254322216079699182e+00,1.251942126791169674e+00,1.244909178606494304e+00,1.252308427653832545e+00
2.250000000000000000e+01,1.258119579444060721e+00,1.251797966635095571e+00,1.253509097736360989e+00,1.246989869614386404e+00,1.252604128357476032e+00
2.270000000000000284e+01,1.258524873980678693e+00,1.255440574554299138e+00,1.255352477299646941e+00,1.247124804028834522e+00,1.254110682465864990e+00
2.289999999999999858e+01,1.265199289548690542e+00,1.258719587515076510e+00,1.261796660221507382e+00,1.250376835947214937e+00,1.259023093308122343e+00
2.310000000000000142e+01,1.270346342273047435e+00,1.262625574627096237e+00,1.260829754818556303e+00,1.251933587214853150e+00,1.261433814733388337e+00
2.330000000000000426e+01,1.268560197176528570e+00,1.263688909878116995e+00,1.267846859807596926e+00,1.253896046593119040e+00,1.263498003363840327e+00
2.350000000000000000e+01,1.270310917748012747e+00,1.259781491432970801e+00,1.267719952707595965e+00,1.253760112985111030e+00,1.262893118718422691e+00
2.370000000000000284e+01,1.272285702163581389e+00,1.265761685484153576e+00,1.270412499289690578e+00,1.260877870368496190e+00,1.267334439326480489e+00
2.389999999999999858e+01,1.276367199712149514e+00,1.271919612106436448e+00,1.274368634238313813e+00,1.262890041434027388e+00,1.271386371872731846e+00
2.410000000000000142e+01,1.273999320390695411e+00,1.269547268427260844e+00,1.273901330367014362e+00,1.263586619224137619e+00,1.270258634602277059e+00
2.430000000000000426e+01,1.277409039735976304e+00,1.274374999559902744e+00,1.276934343412712947e+00,1.264170826169012329e+00,1.273222302219401136e+00
2.450000000000000000e+01,1.274630293675954817e+00,1.275064045242335853e+00,1.278520446046378600e+00,1.268486719061659995e+00,1.274175376006582372e+00
2.470000000000000284e+01,1.278543419518651136e+00,1.272938060214075406e+00,1.283053101248627037e+00,1.273484414996934877e+00,1.277004748994571948e+00
2.489999999999999858e+01,1.280632598657088783e+00,1.274666393115414298e+00,1.282920766201841589e+00,1.270931836621906008e+00,1.277287898649062559e+00
2.510000000000000142e+01,1.283819055613026894e+00,1.276453039481541429e+00,1.285415275970877902e+00,1.274896925219829669e+00,1.280146074071318862e+00
2.530000000000000426e+01,1.282959218861623230e+00,1.279889321621721088e+00,1.284038006466967641e+00,1.274167151827572786e+00,1.280263424694471075e+00
2.550000000000000000e+01,1.284683490651009174e+00,1.281093132839343118e+00,1.290579726976729402e+00,1.278400111966927932e+00,1.283689115608502407e+00
2.570000000000000284e+01,1.283692168649716914e+00,1.280796187878968428e+00,1.292369654922748357e+00,1.283138209737367808e+00,1.284999055297200377e+00
2.589999999999999858e+01,1.282674622232966355e+00,1.280261334361325609e+00,1.290156513974044072e+00,1.279166538250497531e+00,1.283064752204708503e+00
2.610000000000000142e+01,1.285832729303514110e+00,1.282828017710898383e+00,1.292076992530332813e+00,1.283119352102486621e+00,1.285964272911807926e+00
2.630000000000000426e+01,1.282999815339240124e+00,1.285756543397948093e+00,1.294492894469826405e+00,1.285377021750109483e+00,1.287156568739280971e+00
2.650000000000000000e+01,1.286542059095071355e+00,1.287822691948290021e+00,1.295604466780318820e+00,1.286721930784179069e+00,1.289172787151964705e+00
2.670000000000000284e+01,1.286792138451722689e+00,1.286983861581634025e+00,1.294753582963596106e+00,1.286322248514066180e+00,1.288712957877754750e+00
2.689999999999999858e+01,1.288860317608861772e+00,1.286643371835188621e+00,1.298086063479728658e+00,1.285089127708565648e+00,1.289669720158086230e+00
2.710000000000000142e+01,1.284525772492042694e+00,1.292486778196220376e+00,1.302433719454423766e+00,1.292402546545189601e+00,1.292962204171969054e+00
2.730000000000000426e+01,1.290883107103383276e+00,1.287426059275248225e+00,1.300620265324007097e+00,1.292760885733056364e+00,1.292922579358923851e+00
2.750000000000000000e+01,1.285722906348284011e+00,1.289167980712121242e+00,1.300349583577916857e+00,1.293278610749298174e+00,1.292129770346905016e+00
2.770000000000000284e+01,1.287801384655364645e+00,1.289938712642315854e+00,1.302558009630658820e+00,1.290612131818857922e+00,1.292727559686799310e+00
2.789999999999999858e+01,1.284366984695386682e+00,1.291626448953014705e+00,1.305113024435068381e+00,1.290715741890379853e+00,1.292955549993462405e+00
2.810000000000000142e+01,1.288198399450703135e+00,1.292668472015595649e+00,1.301651826012031776e+00,1.295172621710374505e+00,1.294422829797176266e+00
2.830000000000000426e+01,1.284522359513079692e+00,1.294396180000085383e+00,1.304774684487571612e+00,1.296323115885419597e+00,1.295004084971539182e+00
2.850000000000000000e+01,1.286368517089156560e+00,1.291158630801465979e+00,1.307417012376647314e+00,1.293947010607912729e+00,1.294722792718795645e+00
2.870000000000000284e+01,1.287329629272494280e+00,1.292189816849488082e+00,1.306175471348550055e+00,1.298918631804168555e+00,1.296153387318675243e+00
2.889999999999999858e+01,1.288023876406891421e+00,1.293526747857179915e+00,1.309326456839521091e+00,1.297604960049858258e+00,1.297120510288362727e+00
2.910000000000000142e+01,1.284027224404169276e+00,1.294457845026464549e+00,1.307662559458940388e+00,1.298188091632573427e+00,1.296083930130536910e+00
2.930000000000000426e+01,1.286432735515106396e+00,1.292538816811773073e+00,1.309878866645906692e+00,1.298981564329648286e+00,1.296957995825608556e+00
2.950000000000000000e+01,1.287913210594387792e+00,1.293479869250487191e+00,1.309246454522675851e+00,1.296972585172482262e+00,1.296903029885008163e+00
2.970000000000000284e+01,1.283336692055402795e+00,1.295411755461199022e+00,1.311305403167068784e+00,1.296745907071549242e+00,1.296699939438804794e+00
2.989999999999999858e+01,1.284385154022640085e+00,1.295672521170236013e+00,1.308375710609788412e+00,1.299740891284001387e+00,1.297043569271666419e+00
3.010000000000000142e+01,1.281564555009746309e+00,1.295689026544766698e+00,1.311381628553689893e+00,1.299156477662588127e+00,1.296947921942697590e+00
3.030000000000000426e+01,1.285427995785880073e+00,1.295513482069703626e+00,1.308656630647093921e+00,1.297131552210699867e+00,1.296682415178344261e+00
3.050000000000000000e+01,1.281931824016379728e+00,1.295923795098199660e+00,1.315900321124487515e+00,1.297992472958209076e+00,1.297937103299318995e+00
3.070000000000000284e+01,1.280221965968290743e+00,1.294783788275177594e+00,1.313881202595992281e+00,1.298719333395233599e+00,1.296901572558673665e+00
3.089999999999999858e+01,1.277162484449631874e+00,1.294997945989883492e+00,1.309844560573460548e+00,1.297767590644789415e+00,1.294943145414441332e+00
3.110000000000000142e+01,1.282166179100650227e+00,1.293194239411944890e+00,1.311063983524410892e+00,1.298358960734129264e+00,1.296195840692783818e+00
3.130000000000000426e+01,1.281078410980750926e+00,1.294361252914476568e+00,1.315377744976540697e+00,1.297792300834380574e+00,1.297152427426537136e+00
3.150000000000000000e+01,1.279462765770398747e+00,1.293159447957929586e+00,1.315585877127696035e+00,1.298282034368368310e+00,1.296622531306098169e+00
3.170000000000000284e+01,1.277588063637424831e+00,1.294430330805307117e+00,1.313957127427898275e+00,1.295729515067756799e+00,1.295426259234596644e+00
3.189999999999999858e+01,1.276983449320895136e+00,1.291697392502387354e+00,1.315411604771585807e+00,1.295687118811408967e+00,1.294944891351569316e+00
3.210000000000000142e+01,1.275600814782092085e+00,1.294158306276700587e+00,1.313301190181787925e+00,1.296513595454486190e+00,1.294893476673766752e+00
3.229999999999999716e+01,1.272656870989339550e+00,1.290980001762860763e+00,1.312981385988739369e+00,1.294014791111423701e+00,1.292658262463090679e+00
3.250000000000000000e+01,1.274041944337880761e+00,1.293762577180770590e+00,1.314141670693627750e+00,1.293492532270990036e+00,1.293859681120817395e+00
3.270000000000000284e+01,1.272993737042289464e+00,1.291542812466746293e+00,1.313439898396459027e+00,1.291808014573886831e+00,1.292446115619845459e+00
3.290000000000000568e+01,1.268522736571247478e+00,1.290232637444016950e+00,1.315554428497131001e+00,1.294147039449047742e+00,1.292114210490360904e+00
3.310000000000000142e+01,1.269214186135735778e+00,1.290042891075040332e+00,1.313692087229184624e+00,1.293656589537502510e+00,1.291651438494365811e+00
3.329999999999999716e+01,1.269318410552708665e+00,1.289154991364379832e+00,1.313857465946900449e+00,1.289193184366606237e+00,1.290381013057648740e+00
3.350000000000000000e+01,1.266037033360476016e+00,1.289335251409727157e+00,1.313706654616402458e+00,1.290265252952269126e+00,1.289836048084718634e+00
3.370000000000000284e+01,1.266196385543199021e+00,1.289106248975211644e+00,1.315411031294884570e+00,1.291278120687713749e+00,1.290497946625252190e+00
3.390000000000000568e+01,1.262795676856998117e+00,1.285887116303980893e+00,1.313101971492198317e+00,1.285127409193160819e+00,1.286728043461584647e+00
3.410000000000000142e+01,1.263007887492425763e+00,1.287455567665586997e+00,1.315170191473598704e+00,1.288744519659770660e+00,1.288594541572845475e+00
3.429999999999999716e+01,1.260089521644256028e+00,1.284660441131953990e+00,1.313924500508823145e+00,1.284692163392930020e+00,1.285841656669490796e+00
3.450000000000000000e+01,1.261955334993989819e+00,1.283766073048005829e+00,1.314062032004376546e+00,1.284276020193814150e+00,1.286014865060046475e+00
3.470000000000000284e+01,1.260016917472853271e+00,1.283405840351506288e+00,1.310415399383685786e+00,1.282201621891194909e+00,1.284009944774810119e+00
3.490000000000000568e+01,1.256396366756159066e+00,1.279287233168211468e+00,1.307796382284148740e+00,1.284415194749881195e+00,1.281973794239600117e+00
3.510000000000000142e+01,1.254636949092775566e+00,1.278783899343019836e+00,1.309565645603908646e+00,1.280570215027089231e+00,1.280889177266698375e+00
3.529999999999999716e+01,1.252533445658943867e+00,1.279153435195965027e+00,1.310701250356506087e+00,1.277652458159400872e+00,1.280010147342703908e+00
3.550000000000000000e+01,1.254574159097751496e+00,1.279629413676100835e+00,1.309199909875304657e+00,1.276438729636937719e+00,1.279960553071523677e+00
3.570000000000000284e+01,1.250629390217721904e+00,1.274572192853169472e+00,1.309316150241137011e+00,1.276919698350744259e+00,1.277859357915692939e+00
3.590000000000000568e+01,1.248300227266011975e+00,1.274613148528038531e+00,1.306109016975296910e+00,1.274893387273021483e+00,1.275978945010592280e+00
3.610000000000000142e+01,1.248328456896462546e+00,1.275093674091627882e+00,1.305220689515370625e+00,1.272917778082272466e+00,1.275390149646433269e+00
3.629999999999999716e+01,1.244455949790207905e+00,1.273342781505761856e+00,1.303622664465920566e+00,1.269636905221226186e+00,1.272764575245779017e+00
3.650000000000000000e+01,1.243608533387054793e+00,1.274155056754562976e+00,1.304540050536020734e+00,1.270129120493941999e+00,1.273108190292895125e+00
3.670000000000000284e+01,1.241964714881804932e+00,1.270503422767651491e+00,1.300325909651605327e+00,1.267067779517931703e+00,1.269965456704748474e+00
3.690000000000000568e+01,1.239259745131460644e+00,1.269800416649827124e+00,1.299565071038304209e+00,1.263367943912748093e+00,1.267998294183084962e+00
3.710000000000000142e+01,1.236068350669221827e+00,1.266900243014203120e+00,1.299182413979882655e+00,1.265489172813191399e+00,1.266910045119124639e+00
3.729999999999999716e+01,1.233242872190709161e+00,1.263202379545982801e+00,1.299120500151454971e+00,1.263339398827117321e+00,1.264726287678816119e+00
3.750000000000000000e+01,1.233626765595668751e+00,1.263554857888536942e+00,1.296817587820725537e+00,1.257556528564285347e+00,1.262888934967304255e+00
3.770000000000000284e+01,1.232921763614041044e+00,1.262274793258576500e+00,1.295932599587586553e+00,1.260113372712713842e+00,1.262810632293229318e+00
3.790000000000000568e+01,1.230541852703638250e+00,1.258618140625473725e+00,1.292574607500170725e+00,1.255990218142388759e+00,1.259431204742917920e+00
3.810000000000000142e+01,1.228859289735158900e+00,1.258393225241521529e+00,1.290947050593986623e+00,1.254298756158867434e+00,1.258124580432383732e+00
3.830000000000000426e+01,1.223177804054947915e+00,1.255669821460237756e+00,1.288947390949396477e+00,1.251853757664043387e+00,1.254912193532156328e+00
3.850000000000000000e+01,1.222954040133100051e+00,1.254865840163634338e+00,1.287214984832664610e+00,1.248264637808879307e+00,1.253324875734569632e+00
3.870000000000000284e+01,1.221631399653910544e+00,1.249489722903603051e+00,1.284857536149902391e+00,1.245910682277941772e+00,1.250472335246339384e+00
3.890000000000000568e+01,1.217646270972271960e+00,1.251516159630129188e+00,1.283245269062033289e+00,1.245494459058823278e+00,1.249475539680814595e+00
3.910000000000000142e+01,1.217392198717037743e+00,1.249169733435312235e+00,1.279263465196280869e+00,1.244981170249808589e+00,1.247701641899609859e+00
3.930000000000000426e+01,1.213422779142713459e+00,1.247272077486852648e+00,1.279277821059422227e+00,1.241319802373425318e+00,1.245323120015603413e+00
3.950000000000000000e+01,1.212097987595703863e+00,1.244959833661591686e+00,1.275874135369526652e+00,1.239287234192875564e+00,1.243054797704924441e+00
3.970000000000000284e+01,1.211131692365696289e+00,1.242036590964808562e+00,1.273397372418214601e+00,1.236078938502243929e+00,1.240661148562740790e+00
3.990000000000000568e+01,1.208833277915554838e+00,1.238726244397993836e+00,1.268884753208380234e+00,1.233881271698055393e+00,1.237581386804996075e+00
