frame,CHI_to_WAT,WAT_to_CHI
0,10,9
1,9,14
2,13,17
3,8,10
4,10,16
5,16,15
6,5,11
7,15,16
8,10,14
9,12,12
10,12,16
11,11,14
12,12,10
13,14,15
14,15,17
15,15,12
16,13,14
17,14,21
18,7,14
19,9,12
20,15,16
21,7,13
22,11,13
23,8,15
24,12,10
25,12,16
26,12,13
27,15,15
28,9,14
29,13,20
30,15,21
31,15,15
32,13,12
33,8,15
34,12,9
35,7,13
36,14,11
37,8,17
38,11,8
39,9,13
40,8,13
41,13,16
42,11,18
43,15,17
44,13,10
45,10,8
46,13,9
47,15,10
48,8,17
49,11,18
50,12,5
51,13,7
52,13,14
53,14,14
54,14,17
55,13,12
56,15,8
57,11,14
58,15,12
59,6,12
60,13,13
61,17,12
62,10,15
63,14,5
64,18,11
65,10,9
66,11,14
67,20,17
68,14,10
69,15,12
70,12,13
71,10,13
72,12,12
73,7,10
74,8,11
75,14,12
76,12,12
77,12,7
78,12,11
79,16,13
80,12,20
81,13,13
82,13,18
83,9,19
84,10,19
85,11,11
86,10,13
87,12,20
88,11,13
89,13,9
90,8,18
91,9,10
92,13,7
93,15,9
94,12,11
95,9,10
96,14,12
97,18,8
98,15,13
99,12,15
100,14,16
101,9,11
102,13,10
103,14,13
104,12,14
105,9,15
106,7,10
107,13,12
108,10,15
109,11,7
110,18,13
111,10,12
112,7,14
113,11,9
114,12,20
115,11,19
116,12,11
117,14,18
118,17,9
119,14,12
120,14,7
121,6,10
122,13,14
123,19,11
124,9,12
125,15,15
126,14,11
127,10,8
128,11,16
129,11,10
130,13,8
131,13,6
132,14,12
133,16,17
134,11,7
135,10,12
136,12,12
137,12,12
138,11,8
139,8,5
140,10,10
141,9,5
142,15,10
143,13,7
144,19,8
145,14,17
146,20,13
147,10,9
148,9,11
149,10,7
150,10,12
151,13,9
152,13,15
153,9,9
154,10,12
155,12,12
156,17,13
157,13,15
158,9,5
159,11,11
160,12,14
161,13,9
162,7,15
163,9,9
164,14,17
165,13,16
166,15,15
167,18,14
168,8,18
169,5,18
170,15,18
171,10,19
172,13,11
173,13,13
174,12,12
175,13,15
176,10,15
177,12,11
178,15,13
179,15,19
180,8,15
181,12,11
182,10,10
183,14,13
184,12,12
185,13,9
186,16,8
187,14,19
188,12,13
189,10,16
190,12,9
191,14,14
192,10,17
193,13,10
194,13,12
195,18,9
196,6,11
197,9,10
198,9,12
199,10,12
200,14,9
201,12,15
202,13,8
203,13,16
204,12,14
205,15,16
206,15,11
207,14,13
208,11,18
209,11,16
210,10,14
211,13,17
212,14,17
213,13,16
214,9,12
215,10,19
216,9,11
217,9,15
218,16,9
219,13,14
220,12,17
221,14,13
222,10,15
223,17,18
224,14,12
225,12,14
226,9,17
227,15,15
228,11,12
229,12,19
230,12,12
231,9,14
232,9,13
233,10,11
234,12,11
235,15,8
236,10,13
237,10,13
238,15,15
239,13,14
240,19,8
241,11,14
242,11,12
243,12,20
244,7,14
245,17,17
246,8,14
247,15,13
248,15,16
249,13,14
250,8,15
251,16,14
252,14,9
253,4,21
254,13,13
255,10,16
256,13,13
257,17,22
258,12,18
259,11,15
260,12,17
261,10,21
262,13,15
263,14,12
264,10,18
265,10,15
266,14,14
267,11,15
268,13,19
269,10,12
270,12,11
271,12,19
272,14,17
273,11,11
274,12,13
275,7,16
276,13,12
277,11,9
278,13,13
279,13,15
280,13,11
281,11,18
282,11,11
283,13,10
284,15,18
285,10,10
286,18,20
287,13,14
288,13,12
289,6,16
290,16,16
291,11,24
292,13,15
293,17,17
294,10,15
295,12,9
296,17,14
297,8,7
298,11,10
299,11,16
300,9,22
301,9,7
302,10,14
303,9,22
304,11,14
305,12,12
306,14,17
307,11,15
308,15,11
309,8,11
310,12,14
311,11,21
312,14,10
313,13,14
314,16,20
315,10,21
316,16,13
317,13,10
318,15,17
319,13,14
320,12,18
321,12,19
322,16,14
323,9,15
324,10,10
325,13,15
326,14,16
327,7,12
328,13,9
329,16,11
330,15,11
331,11,10
332,11,11
333,15,13
334,17,15
335,12,18
336,13,14
337,9,19
338,11,18
339,11,12
340,12,12
341,14,10
342,13,7
343,8,16
344,13,7
345,14,13
346,9,10
347,8,12
348,11,16
349,12,8
350,15,13
351,9,14
352,11,12
353,10,19
354,12,10
355,14,10
356,7,10
357,12,9
358,12,10
359,9,16
360,8,13
361,14,6
362,13,22
363,12,15
364,10,10
365,15,12
366,12,12
367,15,14
368,12,8
369,15,11
370,12,16
371,17,13
372,10,14
373,14,13
374,16,10
375,6,13
376,11,13
377,9,8
378,14,19
379,10,13
380,18,16
381,13,15
382,11,15
383,12,14
384,14,9
385,14,5
386,14,11
387,13,16
388,9,20
389,11,12
390,12,16
391,9,12
392,12,9
393,12,14
394,10,16
395,13,10
396,12,13
397,12,12
398,11,17
399,14,16
400,7,13
401,9,9
402,10,15
403,12,17
404,11,17
405,11,18
406,16,19
407,15,18
408,8,14
409,12,10
410,7,11
411,8,8
412,13,11
413,11,15
414,17,15
415,14,16
416,13,15
417,11,11
418,12,14
419,13,15
420,12,17
421,10,18
422,16,20
423,11,11
424,12,8
425,8,13
426,12,13
427,12,16
428,13,18
429,12,15
430,11,19
431,11,14
432,10,14
433,13,19
434,14,10
435,15,15
436,13,12
437,13,10
438,13,7
439,13,13
440,10,11
441,12,12
442,11,9
443,11,10
444,12,17
445,14,15
446,12,10
447,9,17
448,12,13
449,11,13
450,13,9
451,12,10
452,14,17
453,8,9
454,10,8
455,13,13
456,13,14
457,14,11
458,12,15
459,16,11
460,6,13
461,11,10
462,8,12
463,15,13
464,16,9
465,12,13
466,12,11
467,11,12
468,14,10
469,10,15
470,11,11
471,8,14
472,10,15
473,11,11
474,19,15
475,13,13
476,10,12
477,7,15
478,11,11
479,15,13
480,12,12
481,13,17
482,16,15
483,8,16
484,9,15
485,9,22
486,10,15
487,10,16
488,11,19
489,8,17
490,10,16
491,13,25
492,11,12
493,11,17
494,16,14
495,13,16
496,10,14
497,13,14
498,12,9
499,9,13
500,10,8
501,13,16
502,7,13
503,12,13
504,11,11
505,14,12
506,15,15
507,11,15
508,14,16
509,10,14
510,8,14
511,13,20
512,12,14
513,12,18
514,5,14
515,10,19
516,11,20
517,11,11
518,8,14
519,7,15
520,12,12
521,11,15
522,11,11
523,12,13
524,12,16
525,14,15
526,11,21
527,11,14
528,12,16
529,9,15
530,12,15
531,11,9
532,13,17
533,13,11
534,6,7
535,12,13
536,16,14
537,7,16
538,18,14
539,13,22
540,13,18
541,13,13
542,14,20
543,8,18
544,12,18
545,12,15
546,12,12
547,13,17
548,9,16
549,10,11
550,15,18
551,11,13
552,10,18
553,13,18
554,11,12
555,10,14
556,13,15
557,12,16
558,17,16
559,13,11
560,10,14
561,19,13
562,13,20
563,10,14
564,9,17
565,10,17
566,11,17
567,13,11
568,11,15
569,10,14
570,10,10
571,13,11
572,13,9
573,12,14
574,14,11
575,6,13
576,17,14
577,11,16
578,14,11
579,10,13
580,13,13
581,10,15
582,13,18
583,10,11
584,10,14
585,15,13
586,14,13
587,13,17
588,10,17
589,9,15
590,10,12
591,11,14
592,17,17
593,13,8
594,15,19
595,14,15
596,13,12
597,12,15
598,11,24
599,15,12
600,10,14
601,11,12
602,12,11
603,12,11
604,9,15
605,12,17
606,9,22
607,17,13
608,12,21
609,19,15
610,12,12
611,14,21
612,18,18
613,12,19
614,10,20
615,12,14
616,16,14
617,13,9
618,15,14
619,11,10
620,8,18
621,14,15
622,15,11
623,11,10
624,15,15
625,11,12
626,9,20
627,16,16
628,15,13
629,8,7
630,10,17
631,11,15
632,12,16
633,14,7
634,12,14
635,18,16
636,10,11
637,10,11
638,13,18
639,12,14
640,11,15
641,14,16
642,9,22
643,11,18
644,14,17
645,9,18
646,10,21
647,17,16
648,8,8
649,11,12
650,14,15
651,11,15
652,12,12
653,9,13
654,12,12
655,15,15
656,13,15
657,12,16
658,15,21
659,10,15
660,11,15
661,14,14
662,9,18
663,8,12
664,10,12
665,11,14
666,17,10
667,14,12
668,13,15
669,14,20
670,12,10
671,10,12
672,12,9
673,11,17
674,14,13
675,14,13
676,12,11
677,16,19
678,13,17
679,12,11
680,15,17
681,14,12
682,12,14
683,10,8
684,16,15
685,9,7
686,13,9
687,16,9
688,9,13
689,13,16
690,15,8
691,14,18
692,18,12
693,15,18
694,11,10
695,8,17
696,8,13
697,15,18
698,17,17
699,14,13
700,16,10
701,12,13
702,11,10
703,13,16
704,10,12
705,7,16
706,9,14
707,8,10
708,9,10
709,10,13
710,11,16
711,10,15
712,11,10
713,14,11
714,12,14
715,10,13
716,12,17
717,10,9
718,7,17
719,17,13
720,7,18
721,11,15
722,13,12
723,16,15
724,10,10
725,11,13
726,15,17
727,13,11
728,14,19
729,12,14
730,11,10
731,15,9
732,10,15
733,15,13
734,10,16
735,10,18
736,13,10
737,15,10
738,16,10
739,14,15
740,8,12
741,11,8
742,9,12
743,14,9
744,14,18
745,10,12
746,15,16
747,17,17
748,7,21
749,11,13
750,18,15
751,12,14
752,8,11
753,10,17
754,14,10
755,11,12
756,11,13
757,9,9
758,11,16
759,9,20
760,15,12
761,15,12
762,14,18
763,14,14
764,6,12
765,10,11
766,10,12
767,18,18
768,16,16
769,16,9
770,9,11
771,11,16
772,4,16
773,11,13
774,5,10
775,20,14
776,13,17
777,11,15
778,14,10
779,8,15
780,14,20
781,11,9
782,10,14
783,14,11
784,8,13
785,12,10
786,13,13
787,15,16
788,12,11
789,13,7
790,10,13
791,12,13
792,8,9
793,11,9
794,9,15
795,13,11
796,13,16
797,12,10
798,9,12
799,12,9
800,6,13
801,13,9
802,12,9
803,12,12
804,12,14
805,11,14
806,8,13
807,14,14
808,13,12
809,16,11
810,9,13
811,9,21
812,19,10
813,11,16
814,16,8
815,8,16
816,17,15
817,13,19
818,12,14
819,10,13
820,13,15
821,13,17
822,14,18
823,10,12
824,9,23
825,14,19
826,19,19
827,16,12
828,15,12
829,10,10
830,14,16
831,13,12
832,8,11
833,15,14
834,13,11
835,11,10
836,15,12
837,11,12
838,9,10
839,10,13
840,13,14
841,14,21
842,14,12
843,11,15
844,14,10
845,10,13
846,8,12
847,10,18
848,10,16
849,14,19
850,8,17
851,18,20
852,10,14
853,14,13
854,10,17
855,10,14
856,14,10
857,12,18
858,7,20
859,12,16
860,9,15
861,8,16
862,16,14
863,10,14
864,12,12
865,11,9
866,8,18
867,11,11
868,14,16
869,17,19
870,14,11
871,13,13
872,12,20
873,12,14
874,13,14
875,15,12
876,5,12
877,13,10
878,12,15
879,8,18
880,10,9
881,11,15
882,13,13
883,14,19
884,13,16
885,12,11
886,15,15
887,10,13
888,16,20
889,13,11
890,9,16
891,6,12
892,14,17
893,14,15
894,15,9
895,12,15
896,8,16
897,13,12
898,15,10
899,5,16
900,13,11
901,11,12
902,7,7
903,11,16
904,6,9
905,15,15
906,13,11
907,12,9
908,13,16
909,15,16
910,10,16
911,10,9
912,14,12
913,9,11
914,12,13
915,10,12
916,12,15
917,12,22
918,13,17
919,11,15
920,11,10
921,8,12
922,18,15
923,13,13
924,11,11
925,10,14
926,14,8
927,14,13
928,12,12
929,14,14
930,12,15
931,13,7
932,15,23
933,16,12
934,7,7
935,10,20
936,13,12
937,12,12
938,14,15
939,15,16
940,12,8
941,8,16
942,15,18
943,10,16
944,8,13
945,14,14
946,12,13
947,13,12
948,16,14
949,13,17
950,13,11
951,12,14
952,10,10
953,9,8
954,12,14
955,15,15
956,12,11
957,15,14
958,13,19
959,13,15
960,10,14
961,18,18
962,13,11
963,12,22
964,14,16
965,12,14
966,14,10
967,12,15
968,12,16
969,13,14
970,8,13
971,12,14
972,20,14
973,8,11
974,14,11
975,15,11
976,7,16
977,8,12
978,13,14
979,14,22
980,11,22
981,9,11
982,14,11
983,11,13
984,17,14
985,11,9
986,12,9
987,10,12
988,14,12
989,13,12
990,11,11
991,13,10
992,10,7
993,6,15
994,12,11
995,8,13
996,12,18
997,8,10
998,11,14
999,15,14
